# Job,Month,RedTimeDays,AverageBuildTimeMinutes,JobUrl
angry-omnibus-toolchain-build,2016-06,26.27,0.00,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-build/
angry-omnibus-toolchain-build,2016-07,28.11,0.00,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-build/
angry-omnibus-toolchain-trigger-ad_hoc,2015-12,7.75,75.63,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-ad_hoc/
angry-omnibus-toolchain-trigger-ad_hoc,2016-01,14.98,115.30,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-ad_hoc/
angry-omnibus-toolchain-trigger-ad_hoc,2016-02,20.08,50.18,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-ad_hoc/
angry-omnibus-toolchain-trigger-ad_hoc,2016-03,30.00,0.00,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-ad_hoc/
angry-omnibus-toolchain-trigger-ad_hoc,2016-04,13.87,65.93,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-ad_hoc/
angry-omnibus-toolchain-trigger-ad_hoc,2016-05,0.00,0.00,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-ad_hoc/
angry-omnibus-toolchain-trigger-ad_hoc,2016-06,12.09,57.13,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-ad_hoc/
angry-omnibus-toolchain-trigger-ad_hoc,2016-07,0.00,0.00,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-ad_hoc/
angry-omnibus-toolchain-trigger-git_poll,2015-12,0.05,64.28,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-git_poll/
angry-omnibus-toolchain-trigger-git_poll,2016-01,0.00,0.00,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-git_poll/
angry-omnibus-toolchain-trigger-git_poll,2016-02,0.25,65.42,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-git_poll/
angry-omnibus-toolchain-trigger-git_poll,2016-03,0.00,0.00,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-git_poll/
angry-omnibus-toolchain-trigger-git_poll,2016-04,15.07,61.79,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-git_poll/
angry-omnibus-toolchain-trigger-git_poll,2016-05,30.00,0.00,http://manhattan.ci.chef.co/job/angry-omnibus-toolchain-trigger-git_poll/
